[2024-10-08T23:34:50.812+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:50 INFO: Page 24 retrieved with 50 records.
[2024-10-08T23:34:50.891+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:50 INFO: Page 25 retrieved with 50 records.
[2024-10-08T23:34:51.005+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:51 INFO: Page 26 retrieved with 50 records.
[2024-10-08T23:34:51.422+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:51 INFO: Page 27 retrieved with 50 records.
[2024-10-08T23:34:51.516+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:51 INFO: Page 28 retrieved with 50 records.
[2024-10-08T23:34:52.072+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:52 INFO: Page 29 retrieved with 50 records.
[2024-10-08T23:34:52.163+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:52 INFO: Page 30 retrieved with 50 records.
[2024-10-08T23:34:52.263+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:52 INFO: Page 31 retrieved with 50 records.
[2024-10-08T23:34:52.352+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:52 INFO: Page 32 retrieved with 50 records.
[2024-10-08T23:34:52.451+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:52 INFO: Page 33 retrieved with 50 records.
[2024-10-08T23:34:52.571+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:52 INFO: Page 34 retrieved with 50 records.
[2024-10-08T23:34:52.977+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:52 INFO: Page 35 retrieved with 50 records.
[2024-10-08T23:34:53.496+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:53 INFO: Page 36 retrieved with 50 records.
[2024-10-08T23:34:53.577+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:53 INFO: Page 37 retrieved with 50 records.
[2024-10-08T23:34:53.666+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:53 INFO: Page 38 retrieved with 50 records.
[2024-10-08T23:34:54.178+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:54 INFO: Page 39 retrieved with 50 records.
[2024-10-08T23:34:54.279+0000] {subprocess.py:93} INFO - 2024-10-08 23:34:54 INFO: Page 40 retrieved with 50 records.
